puzzle,solution,clues,difficulty,level
...8....1..4.9.5..5.9..2...87.....2...1...4......31..9.976........3..2...2.5...3.,263857941784193562519462378876945123931286457452731689397624815145378296628519734,24,0.0,Beginner
.8..2..9.5.....8..2.6..9....481..3.....2..67.32.98.1...3.....5.9...53............,783521496594367812216849537648175329159234678327986145432698751961753284875412963,25,0.0,Beginner
2...8...53....1.....6...9.8...3.....4.71...........1.9...6.4.5..4...3.2.12.......,291786435384591762756432918912348576467159283538267149879624351645913827123875694,22,0.0,Beginner
...1.9..691..4...7.2..........7........5.4.6..6....3.84.76.5..2...8.74....2......,874159236913246857526378914148763529239584761765912348497635182651827493382491675,24,0.0,Beginner
56....34.8......7.3..6..........9........5.32...837......71...9.4....72.1.9.5....,562971348894523176317684295453269817786145932921837564238716459645398721179452683,24,0.0,Beginner
....2...6.5..4..9.7...5.18.2.4..8....8.......9...12.7..2......714.5.93.......4.6.,418927536653841792792653184274398615381765249965412873829136457146579328537284961,26,0.0,Beginner
3.216.7.....8...........5.4.8.73.....7....268.....4...9..6......1..7......8.1...2,342165789759843126861927534285736941473591268196284357927658413614372895538419672,23,0.0,Beginner
...18.2...37..25....8.5....34.5.........17....9....46......931..8......9..6.2....,659183247437962581218754693342596178865417932791238465524879316183645729976321854,24,0.0,Beginner
..37.6...26.........82..9.........65...8.1.9..9.57..3.7...5.18...4..2....2......3,913746528265198347478235916841923765357861294692574831736459182584312679129687453,25,0.0,Beginner
...2.5.6..2.986...........7.63..2.7.2.....1.4...73..2..3..1........5.6.9.74......,349275861721986453586143297163492578297568134458731926935614782812357649674829315,25,0.0,Beginner
...1.......184.36..5..7..4...37.........6928..2.........2..1.97.785...........1..,384126579791845362256973841863752914417369285925418736532681497178594623649237158,24,0.0,Beginner
.834...9..7...1....1.62........895..8.1.......39....2..4.7....8....16..3..53.....,683475192572891346914623785267189534851234679439567821346752918728916453195348267,25,0.0,Beginner
.....6......93.6...9....8248.....9...7.2...68....6.1.7....1..4....59.2..1294.....,514826793287934615693175824865741932371259468942368157758612349436597281129483576,26,0.0,Beginner
...........54...7.3...18.5.....279...9.8......1....64248..7.2..7..3.........467..,148759326965432871372618459654127983293864517817593642486971235729385164531246798,25,0.0,Beginner
.6.8..4..9...........4..138....147.....7....9.2...5....8..962...9....3672.......1,361872495948153672572469138859614723613728549724935816187396254495281367236547981,25,0.0,Beginner
.....2.94...1...3.87..........6....732..4.8.51....9...2.59.8.....4.......9.27....,516832794942157638873496251458623917329741865167589342235918476784365129691274583,24,0.0,Beginner
......5...47...8.2.8...9.1......52977...3...1.1.48..5...6..3...894............9..,621348579947651832583729614438165297765932481219487356156293748894576123372814965,25,0.0,Beginner
...4..78.381.........6..1....4.29.....2....31....4.......2..6.4..7.......69.5.8.2,926431785381975246475682193734129568592768431618543927853297614247816359169354872,24,0.0,Beginner
.8.6.4.13..21...4...1.3.......978..2......7.......2.5...64...2...5.8.9...3.2....4,987624513352197648641835297564978132293541786718362459876419325425783961139256874,26,0.0,Beginner
..635....78..6.9.........8..5.2......28.....14.38..2...6......3....2.4......961..,296358714781462935345917682657231849928645371413879256162784593579123468834596127,24,0.0,Beginner
....3....49......6...9.2.......9..7.....87.5.63.......5..1..7.2..8......9..36.5..,721436895495871236386952147854293671219687453637514928563149782148725369972368514,22,0.0,Beginner
76.5.31....3.....29.1..8.............34..6..8...7..3..8..4...2.2.6.8...7...26..9.,762543189483971562951628734627834915534196278198752346879415623216389457345267891,26,0.0,Beginner
.2....5....9...1.6..3.94.2...53..8..4..167..5.........65....3......8..1....9.2...,724816593589723146163594728275349861498167235316258974652471389937685412841932657,24,0.0,Beginner
7.1....8.....7..46.6.23......3.2...1...6.....2.9.84...9....28....83...1...4....5.,731946285892571346465238179683725491147693528259184763916452837528367914374819652,25,0.0,Beginner
.6.5.......4.8..2...2......6...1.....8..39....7....361...8..2.5......43..21..3...,368572194754981623912364578643217859185639742279458361437896215896125437521743986,23,0.0,Beginner
....5.42.3.....5.1........9.894.....1..........69.2.73.....5.....83..64.25.7.....,897153426324679581615248739789436152132587964546912873463895217978321645251764398,24,0.0,Beginner
..1.2..97..........2...6.....639..2...4.7.18......5...97....2.4.1..83..96........,361428597849157362725936418186394725594672183237815946978561234412783659653249871,24,0.0,Beginner
..62.8...89..5...1..5.....2.4...6.......7..39.5..4.1....7.3.......8.42.....1..5..,436218957892753641175469382341986725268571439759342168927635814513894276684127593,24,0.0,Beginner
..73......2.7...84....92.5.....3...6.6...15..3.14.5..9........787....1....2...89.,957384621123756984648192753795238416264971538381465279516829347879543162432617895,26,0.0,Beginner
....2.7....2.9..56.79.8.2.....6.1.7...6......8.3.........4.....5.8...3.1..49..8..,451326789382794156679185234925631478716842593843579612237418965598267341164953827,24,0.0,Beginner
93..2..6...2...7..6....89......45..9.4.6.......7.....8.5.......7......2...9..78..,938721465412956783675438912261845379843679251597312648356284197784193526129567834,22,0.0,Beginner
.9.7..5...2...6..8.....3...71.....8.......1....9.8.6....23..7.4.6749....4...2...1,693748512524916378871253496716534289248679135359182647982361754167495823435827961,25,0.0,Beginner
.174.5.....2..6....3.8..2.......26..7..6..3.....1...5.9.....83......9.6.8..25...9,617425983482936517539817246348572691751698324296143758924761835175389462863254179,25,0.0,Beginner
........9.425.8.....3...7....68.1.9.5...7..6......5274...4....316.....4.3..1.....,685713429742598136913642758476821395529374861831965274257486913168239547394157682,25,0.0,Beginner
.624.....4..5...2.....8............7...2.6.9873....1..8....597....7.1...2....4..5,362417859481569723579382416928143567154276398736958142843625971695731284217894635,24,0.0,Beginner
..5.....4.4..1.8.6.29.....7..1.5..8..9.1.2........6......6....33..2.7.......457.8,165728934743519826829463157671954382498132675532876419957681243384297561216345798,25,0.0,Beginner
.1....7..7.86..3.4.....3..5..98....71...4.9...57...86.....1...3...9.........62...,315284796728695314694173285269851437183746952457329861972518643546937128831462579,24,0.0,Beginner
..3.......6...1....2.....7.......9.1....95....583.6...1.9.6...84...8.6.9.......2.,793642185564871392821953476346728951217495863958316247179264538432587619685139724,22,0.0,Beginner
....8..4....7..3.2619...8...3.8.....5..61.....6....71.3.852.....4......9.95......,723985146854761392619243857431897625587612934962354718378529461246138579195476283,25,0.0,Beginner
.8.....2.....2.5..23.75........6...8..6..37..9....7..1.........4.5..236..9...6157,587614923619328574234759816743561298126893745958247631361975482475182369892436157,26,0.0,Beginner
..38..6...9.5.....48...21.5.............6.317...2....6.74....32.296.4.7.........1,753891624291546783486372195368417259542968317917253846674185932129634578835729461,26,0.0,Beginner
..2.9...5......97817....3...4..2...1..54..2....3.1..6.5....1........85..3..7.....,832697145456132978179584326648923751915476283723815469597261834261348597384759612,24,0.0,Beginner
....2...69.7...8...2...634.6...517..4.8..9..5..3......8......67..5....9......35..,384925176967134852521786349692351784418279635753648921839512467145867293276493518,25,0.0,Beginner
8......3...6.7.85.2.5........95..3.......31.5..2.6.9....3.5....6..4.1...12..9....,891645732346279851275318469419587326768923145532164987983752614657431298124896573,25,0.0,Beginner
....86.......4.8...4..2.3.9....1..7..3...7.56.91......36...4...2...7.....1...34..,179386524623549817845721369586412973432897156791635248368154792254978631917263485,24,0.0,Beginner
...92...1....57...9..3.6.42.9217...4.3........6...9...4...3....6....8....27...6..,376924581241857936985316742592173864738465219164289357459632178613798425827541693,25,0.0,Beginner
74.3.8.9......1..8..9..52.....2....9....8...68.2......9...1.45..1..5.67.27.......,746328195523941768189675234657234819491587326832196547968712453314859672275463981,26,0.0,Beginner
5...634.....7.....1...5.83.....18..7..69......43...9...............7..2.32.64.5..,598163472632784159174259836259418367816937245743526981465892713981375624327641598,24,0.0,Beginner
6..34.5....9.5.4.8....8.....61...74....4..3.......6.2.1...6..5.8.4.....77....1...,687342591239157468415689273561238749972415386348976125193764852824593617756821934,25,0.0,Beginner
.865......1...2.8...2...6.......71.3.7..3...6..9......9...582..3..7...95...2...1.,486591732713462589592873641264987153875134926139625874941358267328716495657249318,25,0.0,Beginner
......7...49.1....5..29...3...9...3.3...5.....51...4...98.7.2.4........8..35.1..7,832645791649713582517298643284967135376154829951832476198376254765429318423581967,25,0.0,Beginner
82...1.3..4.9..........7........2.7....35...1...4....2415...7....7...6..6....3..8,829641537741935286563287194934162875276358941158479362415896723387524619692713458,23,0.0,Beginner
.69.5.....384.7......89...2..3..6.97....84.2.12.......7.....1.5...3......1.......,469152783238467519571893642853216497697584321124739856746928135985371264312645978,24,0.0,Beginner
......27.7.9.6.5.16....5....7..5...4..3......2..619..............1.738..8.....96.,435198276789264531612735498976352184153487629248619357394826715561973842827541963,24,0.0,Beginner
.....14.....324...2....6..18.2..35.6...7.5...1...8....478....6..6.....5...9......,936871425715324689284956731892413576643795218157682394478539162361248957529167843,24,0.0,Beginner
.3..1.7..5.62.....7.4.....3..............1.92..36.5......8...7..4......5.8.73.1..,832419756596273841714568923451927638678341592923685417169852374347196285285734169,23,0.0,Beginner
....7..85........3.4..86...2..63...89...1....1....23...92.......5....4..8...61.5.,326174985718529643549386712274635198963817524185942376492753861651298437837461259,24,0.0,Beginner
..4......3....6......81..76.9.....83.......64..27...9...54.13............3...981.,164527938378946152529813476791654283853192764642738591985461327217385649436279815,23,0.0,Beginner
...5..7..1......9..9...813...329...6..7......6.9.87.........35...8.6....3...5.6.8,834519762125736894796428135583291476217645983649387521461872359958163247372954618,25,0.0,Beginner
...7.............9.61.2.54.4.3..12..12.........9.8.......56...3.76....9....3..4.8,538794612742156839961823547483971256127635984659482371814569723376248195295317468,24,0.0,Beginner
89.3..6.5..6...2..57............9...7....2.3.....71.4...98....2.........315.6....,891324675436758219572196384168439527754682931923571846649813752287945163315267498,23,0.0,Beginner
8...3.6..9.2...1......587....5...8.........971..8.4..6.3...7.2..7.2.......86.....,847132659952746183613958742765329814384561297129874536536487921471295368298613475,24,0.0,Beginner
7..9....85.2...1.....3.8.4......9...2..4.7....4...68...6.......3........9.8..56.2,734912568582674193691358247876139425259487316143526879465293781327861954918745632,23,0.0,Beginner
.2.....4...45.3....63.719...18...2.6..2.........8....5.9..1....3..2..........5.31,125986743974523168863471952518734296632159874749862315496318527351247689287695431,24,0.0,Beginner
.3..6....81..2...5..7.4......9..687...1.7...3..3..8....28...9.1.......5.6.....3..,432561789816927435957843126549316872281475693763298514328754961174639258695182347,24,0.0,Beginner
18.....9.4...3.........1.8...6..914.7....5....9.478.....79..6.3...2...5......6...,185647392469832571273591486856329147724165938391478265517984623648213759932756814,24,0.0,Beginner
2.6..7....1..3..48.....4..2........6...1..7..1..2..5.9...6....3.5....9..3.7.8....,246817395719532648583964172492753816635198724178246539921675483854321967367489251,23,0.0,Beginner
2.9....8......8..6....9.....5.7..3.4.8..1...2.1.6.37...9.26..5.3..........1..7...,239476185574128936168395247956782314783914562412653798897261453325849671641537829,24,0.0,Beginner
.3..9.8.1..5...3..8..3.5.2..46.78....8..4.......6.......9.6.2..7..2....9.529...6.,634792851125486397897315426246578913583149672971623584319867245768254139452931768,27,0.0,Beginner
....7..4..31...76.5....8.......6.9....3.9...1.4......3.......52..6.5....8..4.1...,698372145231945768574618239182563974763294581945187623419736852326859417857421396,22,0.0,Beginner
..8.51.7...48.7....19......9...2.5.3......6...72...91.....98....3..1......6..4..8,368951472254837196719462835941726583583149627672583914425398761837615249196274358,25,0.0,Beginner
.....712..5.2...9.1......63.....3..56.2..8...8...1.........6...5..1..8.921.93....,986357124453261798127894563741623985692548317835719642379486251564172839218935476,25,0.0,Beginner
...34...5.9..2...3........454...6..9..3..2.8....5......2..8.93.6.4....7....7.....,276341895498625713351978264547816329163492587982537641725184936634259178819763452,23,0.0,Beginner
.......56.....97.3....7.8......1...74.5....3....83.49..8.....69..3..6....2.7.1..5,371428956842569713596173842938614527415297638267835491784352169153986274629741385,25,0.0,Beginner
..89...41.5..........751.........69......4.2..12.95..38..43....47....8.......6.1.,738962541159348267264751389547123698983674125612895473821437956476519832395286714,25,0.0,Beginner
.3...5..82.6.....4.7.2.4..5..485..........6.71...3.4...6...32.951...........7..3.,439765128256381794871294365624857913395142687187936452768513249513429876942678531,26,0.0,Beginner
.39..1.2.2.457........8.4....2......5.761..4.36......9........56..8..7......59...,739461528284573916156982473412395687597618342368247159941726835625834791873159264,25,0.0,Beginner
.....7...2.....9...67.3....8.9.5..4.45....3........18.34.8.6........349.9.....8.2,194287563238615974567439218829351647451768329673942185342896751785123496916574832,25,0.0,Beginner
........4...98..3..4.....56.....3.9.23....18.765.......2..31.....8..25...7.8..2..,197356824652984731843217956481723695239645187765198342926531478318472569574869213,25,0.0,Beginner
.............5..8..2...619..4...8....7.6..8..58..29...2...8..57..4.3....1..7.....,865193274419257386327846195641378529972615843583429761236981457794532618158764932,23,0.0,Beginner
2..3........62..3.7......68...7..51...72..4..1.3.......2..3...5.....48..4.1.9....,264378951518629734739451268892746513657213489143985627926837145375164892481592376,24,0.0,Beginner
...6......79.5....65...73.2..1.4...3.27............68....86.....4.2..9...1...9.34,182693475379452168654187392561948723827316549493725681935864217748231956216579834,25,0.0,Beginner
...4.89.5.3..2...764....3.....9..6.179....4.....2...9....7.98..86.............716,271438965938625147645197382582943671796851423314276598123769854867514239459382716,26,0.0,Beginner
19...52............547..9......29.....8.....26...8...4.3...6.7..8..3...9..7..23..,196345287873291456254768931745129863318674592629583714432956178581437629967812345,24,0.0,Beginner
3.1..6..4.5.8.3...2..1..8..1...29.8...2...17....6.8..............43.27....6.....2,381276954659843217247195863163729485892534176475618329928457631514362798736981542,25,0.0,Beginner
8.5.3....12.8....9........79.7.24.8...43..5...1.59..2.......6.....4......3..8..4.,875139462126847359349265817957624183284371596613598724498752631562413978731986245,25,0.0,Beginner
...7..6..15...6....3.....7..9...1.4....94.31...3...2.9..6.1.9...4.....8.....7.4.2,824753691157496823639128574598231746762945318413687259276814935945362187381579462,25,0.0,Beginner
..9.....6.3..2........73...7....1..4.....83...6...2.5.4.76....8..15.....6.5....7.,279845136534126789816973425758361294942758361163492857427639518391587642685214973,23,0.0,Beginner
.34.9....7...2.869.6....7...8....5...192....6....5.......684.2....9....3.4.......,834796215751423869962815734483169572519247386276358941395684127628971453147532698,24,0.0,Beginner
6..4......4.3.6.5.3.58...7...7.1....2.9..8.3.....3...7..8.9.......5..8...2....1..,672459318841376259395821674437215986259768431186934527568192743913547862724683195,24,0.0,Beginner
.79.6.....5...4......9.27.1.8...5.....7...3..1...2..8.61............156.....932..,379168425251374896864952731986435172427816359135729684612587943793241568548693217,24,0.0,Beginner
..95....23.......5..5..41....3.7649.6......8...72........79....1...6.......48..6.,749518632361927845285634179523876491694153287817249356436792518178365924952481763,24,0.0,Beginner
....2.8.329.5...7....4.8....7.2..59....37.6..4........74.........5....81...9.2..5,614729853298513476537468129173286594952374618486195237749851362325647981861932745,25,0.0,Beginner
...7...8..9.6...34...9.4...2.5...1..76........8.3.6..5...........2..1947..6...25.,624713589591682734378954621245879163763145892189326475457298316832561947916437258,25,0.0,Beginner
7.41..........6.843..5...719..3..5..2.7.9..1.5....1.3........2...59.8...6.......5,794182356152736984368549271981367542237495618546821739819653427425978163673214895,26,0.0,Beginner
..9.4..75.7...2.3...69.....4..5.9.............13..........5.84..68..3.2....8..6..,829346175574182936136975284487519362652738419913264758291657843768493521345821697,23,0.0,Beginner
.8..572...6......53.....7.....2.94.7...........9631...6.............25..45...3.96,184957263267318945395426781516289437823745619749631852671594328938162574452873196,24,0.0,Beginner
8....5....29.3.......64...3.1.8...........85..9.5.1..7..6...249........5..5.7....,863915724429738516157642983514867392672394851398521467786153249231489675945276138,23,0.0,Beginner
7..2...3..49..5.....214.....84.7..........9.42.....85.......76..63.27.....8.3...1,716298435349765128852143697584679312631852974297314856425981763163427589978536241,26,0.0,Beginner
...43..76.9.5..4...4.6.9..3...8...2..532...4...23.7...........5.......8..84....6.,518432976396578412247619853479865321853291647162347598621984735935726184784153269,25,0.0,Beginner
...85.649...471..8.....9...2....73...1.62.4.......5..1...9.4.8..8......79........,127853649693471258845269713258147396319628475764395821576934182482516937931782564,25,0.0,Beginner
....1.3...7.9....48..6..27......9.1......28.553..8...9.....15..1........3..87....,465217398271938654893645271782359416914762835536184729627491583148523967359876142,24,0.0,Beginner
..3..5......9.4..5.6...1....4.7....1..5.69.......3...24.8........6...51..57...2.4,893625147712984365564371829349752681285169473671438952428513796936247518157896234,24,0.0,Beginner
....43.7..41..7.........5..2.6.....38.4....56.5..........53......28..6.4.9..7..8.,685943172941257368327618549216785493834129756759364821468532917572891634193476285,24,0.0,Beginner
...7....9.29...14.83.9.4..2....5..........4..6.2....354..6.7.2....315......2.....,564721389729583146831964752378456291195832467642179835413697528286315974957248613,25,0.0,Beginner
.7....2..54...61..1.825..3.....1....7..4..5..3.68..........4.7....7.54.9.........,673941258542386197198257634284519763719463582356872941935124876861735429427698315,24,0.0,Beginner
.5.....9...46....179..3.5.....1..........3..7.....932.2.3.4...86...8.1..1...5..7.,856417293324695781791238546932174865468523917517869324273941658645782139189356472,25,0.0,Beginner
.43..8.9........545.6.7.....7.....6....7.4..145.63............3...2.9...6..84..1.,743528196812396754596471328378915462269784531451632879985167243134259687627843915,25,0.0,Beginner
.....7.2.7196.....6..3..1....61.825...........4....6.1527..4..84...8........3..6.,354817926719642583682359147936178254175426839248593671527964318463281795891735462,26,0.0,Beginner
12...8..7......86.....3.5..2...7.....4.5.1.9.7.89.3...6....9..5..9...4.....3.5.8.,125698347937452861864137529291874653346521798758963214683249175519786432472315986,26,0.0,Beginner
....1...3..45..687......25.9.78.....2.1..........75.1.........2..37.4..9..8..25..,572618493314529687869437251957841326281396745436275918645983172123754869798162534,25,0.0,Beginner
..5.....74..629....3..5.9....9.8241..1.......6..3.....9...3.......8...........784,295413867487629135136758942379582416812964573654371298948237651761845329523196784,23,0.0,Beginner
......79..417........58..34.1.4........6..28.7....3.....4.....66..2..1...5...8..3,568324791341796852972581634819472365435619287726853419184937526693245178257168943,24,0.0,Beginner
..9.......261...8.7......54.....2.79.....5..8..8.1.......923..7..74........5.746.,849356721526174983731298654614832579972645138358719246465923817287461395193587462,25,0.0,Beginner
.4.5.2.3......8......79...2.9..4...38.......13....7..8.7...62.......3.5.5......9.,748512639912638475635794812291845763867329541354167928173956284489273156526481397,23,0.0,Beginner
.....4.519..7.........5..8....4.2..65...3..1.12.........1.6....294...7...8......5,378694251915728634462153987839412576547936812126875349751369428294581763683247195,23,0.0,Beginner
7.4.1.......2.4..851.........9...68..4.......1.5.69........856...37...2...1.5.8.9,784915236936274158512683794379421685648537912125869347297148563853796421461352879,26,0.0,Beginner
...5.9....9..1...8......7...3.16..25..4......9....7.1....3..594...4.....1...72...,873529641496713258521648739738164925614295387952837416267381594389456172145972863,23,0.0,Beginner
.6.92...429..58.3............21.94.............5.8.3......47.8.3..5.....9......61,168923754294758136753416892832169475419375628675284319521647983386591247947832561,24,0.0,Beginner
7...8..9...8...2..95.7.1...37......1.1..45...4.6.........9...6....1.37.....8..32.,731482596648539217952761438375298641219645873486317952823974165564123789197856324,25,0.0,Beginner
.13..2..8.9....3.......5..227...6...........7..95..8.413.7....9....6....75..8..4.,413692578592478316687135492275846931841923657369517824138754269924361785756289143,25,0.0,Beginner
..937...8.5...9..27.....4....8..1...41..9...7....2.14..6.......59..83.........3.6,129374568354869712786152493978431625412596837635728149863247951591683274247915386,25,0.0,Beginner
......3...91.6.5.7...1.7......5..2...2.3..14..5.97......9.....1876.............2.,765849312491263587382157496638514279927386145154972638249735861876421953513698724,23,0.0,Beginner
..47.1..8.83.9.......6.....7....9.......8..522..4...1..2.94.8.......64...3.....7.,564731298183294567972658143716529384349187652258463719627945831891376425435812976,24,0.0,Beginner
.1...5.63..83.49.......1..4..16.8.5.6...5..2.35..9....................188.7....9.,714985263528364971963271584471628359689453127352197846196842735245739618837516492,25,0.0,Beginner
.53....4......2.3.....9527.96..1..........8..78.........652.4...94..8.2.....4.9..,253781649179462538648395271962814753431957862785236194316529487594178326827643915,25,0.0,Beginner
7....13........57.....7...6..51.6.....39...1.6..4...8...1.....4.32..9.....96...3.,754261398326894571198375426985126743243987615617453289861732954432519867579648132,24,0.0,Beginner
.3.8...69.6.954.8..5...2....8..9...3..5.....8...4.6......61......6....3..9...514.,432871569167954382859362714681597423945123678723486951374618295516249837298735146,26,0.0,Beginner
..8....4...2...6..41...59...9.3.8..7...4........6..12..7....4....5..3.7..3.5.48..,968132745352749618417865932194328567726451389583697124879216453645983271231574896,25,0.0,Beginner
4.....98.8..4...251.7...........3......2..39464.1.........1..........6.8...539..7,426357981839461725157982463792843516581276394643195872374618259915724638268539147,24,0.0,Beginner
..73...8..5...2..648.19..2...52...4.........71....38....8...9.1..........6...4..2,927365184351482796486197325895271643634958217172643859248536971513729468769814532,24,0.0,Beginner
..4...3...63.75..4.5..3..21.....4..6..6....5....82....8.........9.7.8..22.1......,924681375163275984758439621382514796416397258579826413837162549695748132241953867,24,0.0,Beginner
1...6....8...5.....2......5.....3.74.894...62..6....8...72....62....6..9...17....,175962438894351627623748195512683974389417562746529381437295816251836749968174253,24,0.0,Beginner
...783.1.6..4.......1..69.4...8.7.4...4....7..62.....9.2............91...15...2..,249783516658491723371526984193857642584962371762314859926175438837249165415638297,24,0.0,Beginner
..2.....98....63.4..6.59...38.17.....9...2.......9.8.....7.82.5...6...4.......6..,132487569859216374476359182385174926791862453264593817613748295928635741547921638,24,0.0,Beginner
....1..7......91.52......6.4.........3.8.47....9.2.8.....16.38.1..3..9.7.2.5.....,853416279764289135291735468418973526632854791579621843945167382186342957327598614,25,0.0,Beginner
.8.....29...3..8.......8..71...2..3.7.29.3....6.....4.....5..13.19.......4.7..5..,687514329921367854435298167194826735752943681368175942876459213519632478243781596,24,0.0,Beginner
2........3.96...1787...93.......32..9.2.1...3.4.2...6.......8....1...62.....9....,214375986359628417876149352167953248982416573543287169435762891791834625628591734,24,0.0,Beginner
3.1.7......2.....8....2.6...5..1..9.....52......4....3...68375.2......8...7...4..,341876925672539148589124637756318294413952876928467513194683752265741389837295461,23,0.0,Beginner
.6.9.3...9..4...7..1..253...57...98..4...1.....6..25.....8.4..7...........8.....1,862973145935418276714625398157346982249581763386792514591834627423167859678259431,24,0.0,Beginner
...1...5.5.......8.....341..6.....9..9..7.8....425.....76.3.2...1..8....8...6...7,639148752541627938728593416267814593195376824384259671976431285412785369853962147,24,0.0,Beginner
..164...8....8...78......259......41.6.......48....2..3..1..7.......28.6..4..9...,271645938549283167836917425957328641162794583483561279328156794795432816614879352,24,0.0,Beginner
..6....5.87.69....5..4.2.......2.....6.8.9.72.1.3...........2.8793......4.....5..,126783459874695321539412786947521863365849172218367945651974238793258614482136597,24,0.0,Beginner
...3..2..1..6...47452..1..6....1.......5...6.64..9..1..9.......7.1..5.2.534.2....,976384251183652947452971386325716894819543762647298513298467135761835429534129678,27,0.0,Beginner
..4...1.63........9.6....2...1.5.6...9...7......8...45..398....4..3..2......4.79.,284593176317628459956714328841259637695437812732861945173982564469375281528146793,24,0.0,Beginner
....9.4.8.......7.3....81..48......3..79.....1.9..5...7...8..429.1....6.....2.7..,572691438618354279394278156485762913267913584139845627756189342921437865843526791,24,0.0,Beginner
1..7.......9.3.....3..146..7.......9......1.74...8...22.4..9.3..731.2....1.5.....,142756893659238714837914625785321469326495187491687352264879531573162948918543276,25,0.0,Beginner
..4...5...2..56....3....1....5.....7......2.9.712.43.....3......1.57....4.....98.,164837592729156438538492176245963817386715249971284365692348751813579624457621983,23,0.0,Beginner
.....7....5.8..49....6....3..7.3...1........45...1...889.........3..561..16.7..5.,362947185751823496984651273647538921128796534539214768895162347273485619416379852,24,0.0,Beginner
...4.63....9............1..52...1.....182...6.....7..8.342...5..961..8.21......3.,217456389649318725385792164528961473471823596963547218834279651796135842152684937,25,0.0,Beginner
57...6.8..392..7...4....5.....4.8.9.....3........6.1...2......4...6....21....5..9,572346981839251746641987523316478295285139467497562138928713654753694812164825379,23,0.0,Beginner
...7......62.9......8.32..95.....8.7...4.36..2.....5...83..1....94.2..3.6........,951746328362198475478532169536219847817453692249687513783961254194825736625374981,24,0.0,Beginner
9..7.2.862....4....8......2.69.....7..2..914.5.71......5.8..7.1.....1.6..........,913752486276984513485316972169245837832679145547138629654823791728591364391467258,25,0.0,Beginner
